i,t,m,age,sex,HH_size
94174,2017,USA,45,Female,7
94175,2017,USA,77,Male,2
94176,2017,USA,24,Female,2
94177,2017,USA,59,Female,3
94178,2017,USA,34,Male,5
94179,2017,USA,72,Male,2
94180,2017,USA,7,Female,5
94181,2017,USA,36,Female,7
94182,2017,USA,59,Female,1
94183,2017,USA,49,Male,2
94184,2017,USA,8,Male,7
94185,2017,USA,3,Male,7
94186,2017,USA,13,Female,4
94187,2017,USA,54,Female,3
94188,2017,USA,64,Male,2
94189,2017,USA,21,Female,4
94190,2017,USA,43,Male,4
94191,2017,USA,2,Female,5
94192,2017,USA,54,Female,2
94193,2017,USA,58,Female,3
94194,2017,USA,9,Female,4
94195,2017,USA,16,Female,5
94196,2017,USA,5.40E-79,Female,7
94197,2017,USA,8,Female,4
94198,2017,USA,63,Female,3
94199,2017,USA,69,Male,2
94200,2017,USA,26,Female,4
94201,2017,USA,77,Male,2
94202,2017,USA,70,Male,3
94203,2017,USA,2,Male,4
94204,2017,USA,80,Male,4
94205,2017,USA,73,Female,2
94206,2017,USA,56,Male,3
94207,2017,USA,62,Male,2
94208,2017,USA,45,Female,3
94209,2017,USA,5.40E-79,Female,4
94210,2017,USA,80,Male,1
94211,2017,USA,23,Female,4
94212,2017,USA,67,Female,4
94213,2017,USA,3,Female,5
94214,2017,USA,19,Female,3
94215,2017,USA,5.40E-79,Male,3
94216,2017,USA,67,Female,2
94217,2017,USA,18,Male,4
94218,2017,USA,5,Female,4
94219,2017,USA,23,Female,4
94220,2017,USA,17,Female,6
94221,2017,USA,27,Female,2
94222,2017,USA,2,Male,3
94223,2017,USA,43,Female,3
94224,2017,USA,23,Male,3
94225,2017,USA,12,Male,5
94226,2017,USA,5,Male,2
94227,2017,USA,80,Male,1
94228,2017,USA,5.40E-79,Female,7
94229,2017,USA,69,Female,2
94230,2017,USA,15,Male,6
94231,2017,USA,59,Male,1
94232,2017,USA,70,Male,2
94233,2017,USA,62,Male,3
94234,2017,USA,10,Female,4
94235,2017,USA,18,Female,1
94236,2017,USA,5,Male,3
94237,2017,USA,63,Male,2
94238,2017,USA,15,Female,4
94239,2017,USA,76,Female,1
94240,2017,USA,7,Female,5
94241,2017,USA,30,Female,7
94242,2017,USA,60,Male,4
94243,2017,USA,80,Male,2
94244,2017,USA,66,Female,6
